11636	10688	9181	10739	9138	10462	9773	9454	10786	9390	10929	10875	10090	9761	9829	10740	9659	11572	9478	9797	8832	9430	9967	10598	10739	10089	9809	9500	8348	9666
9365	13329	7428	9311	8094	7217	8814	8265	9250	8134	7887	8650	9077	6657	8662	9184	6832	9585	9280	8476	9448	10514	9031	9372	8124	9352	8064	10981	7901	8465
6132	6752	4802	5932	6580	5652	5091	5748	6435	5812	5726	6021	5921	5811	5005	5865	6571	5127	5934	5875	5907	5854	6376	5793	5956	5401	5867	6459	5956	5855
330376	330235	336640	525549	504202	314421	489679	321497	330453	325045	512997	346722	327564	500740	322004	494244	334360	346109	505889	318422	319577	507646	505517	332555	318291	336838	331271	505275	489238	347888
5141	5202	5408	5473	85317	5217	5561	37410	5326	33689	64232	5032	34040	5446	35025	168575	7051	5358	33713	93301	33979	5246	34905	4997	5075	34247	93764	49409	4690	5176
84976	14330	13131	12840	12500	13247	17899	57249	13376	13124	65142	88621	14557	13933	12082	13704	13004	13454	14489	12723	13451	13719	13164	13258	14429	12316	13734	13558	12684	14913
209810	316737	324319	245160	325123	59428	322621	323024	324011	81487	82019	249867	324296	328106	119960	361327	326706	145551	77168	11456	318833	321765	167715	322091	315366	15557	319900	316849	322105	320896
5696	5986	5717	5430	5535	5806	6198	5328	5581	5884	5686	5851	6167	5542	5685	5769	5796	5253	5468	5465	5980	5500	5799	5188	5649	5740	5786	6230	5613	5219
6151	5427	5217	5117	5050	5473	5688	5857	5266	5424	5200	5659	6057	5365	5691	6105	6447	6362	5533	5827	5205	5479	5736	5910	5883	5058	5729	5475	6343	5543
14251	10844	13326	12673	12254	29872	11085	8590	28771	12506	32541	10762	12763	50061	11178	11121	8184	12663	11473	10424	33944	12174	15024	11937	32014	10820	11746	12583	12353	8591
9295	10677	9806	9233	9892	9777	8748	8507	10385	8402	10900	9729	9926	8943	9126	10762	10683	8399	9701	9187	10488	8952	11843	10316	8737	9464	10036	10447	8973	8658
8689	7500	8223	8581	9561	8411	7813	8429	9170	8547	8267	8564	8134	8010	7857	8114	8467	8793	8199	8848	8514	7986	7458	8017	8587	8099	8078	8086	7699	8064
476880	478826	481514	477685	476665	487498	487071	517135	507744	504409	504494	500911	500726	489287	503221	498082	503531	500680	516080	523173	519955	501486	483742	486682	488851	494883	490407	482642	485861	482866
9110	37714	67962	10366	6650	8253	9641	8786	37584	8065	38193	8372	11174	9318	8324	10665	8152	56016	8190	8356	13675	8297	52405	8690	7291	7327	55311	39024	36062	36849
13966	14627	14060	14299	14250	14092	12411	13326	12673	12582	13520	13793	13418	11859	12211	13076	12052	13447	14373	13592	13424	12925	17300	13018	12979	13502	13729	12894	13829	12667
301345	304119	303546	301399	302042	301888	301352	301698	301975	305099	300743	301372	299015	302332	301787	299838	300610	303981	302178	305189	300979	308585	306343	303863	301170	304435	302131	299973	299049	299385
52723	15164	10872	10450	11469	18046	11249	47665	51505	12583	18795	13336	11312	12881	98784	76323	11800	15654	52116	16583	17739	9651	11576	55349	14125	11967	20441	11337	10415	15058
7156	7106	6129	6808	7018	5438	5737	5295	6944	7019	7026	6734	7058	6204	7118	6072	6175	7489	6067	6116	6210	6772	5752	6950	6192	6163	6045	6641	4963	6081
7395	7502	7727	7573	7425	7773	6737	7116	7246	7512	7623	7439	7856	6844	7316	7614	7699	7265	7419	8288	8257	7971	7549	6972	7434	7083	7425	6037	7567	7860
12343	7941	9071	8103	9668	9131	8371	8505	8053	8993	9248	9663	8993	9714	8703	8789	11382	7999	9770	9436	8897	9236	8679	9590	10419	9764	8964	8584	9809	8383
22073	16060	19544	19612	20244	15597	17857	18066	17005	16449	22250	19705	20868	20001	19726	21260	24875	23662	15466	19682	53450	63318	21022	16482	19381	67878	17820	22360	22806	68825
13999	13285	14541	14876	16944	17441	13501	16250	38472	19150	12978	29173	15110	15087	11298	13660	14658	15837	14417	12028	19113	13151	14502	13399	36317	12605	13128	11465	13707	11276
296610	304330	315006	321940	319485	320173	316854	307626	304949	334472	312598	312141	303183	298636	296801	300480	297248	295698	305911	299015	294581	323828	295196	295907	304206	308185	298879	296556	294230	295052
10301	9192	10182	8686	9897	10331	11063	10934	9449	11548	9083	10670	10782	10365	9996	10411	11242	12470	11446	9712	9760	11295	11008	9713	10050	10421	11047	10464	9844	10465
12627	12374	12561	13233	12181	12066	10808	12295	12639	12199	19594	10796	14713	11716	13306	13800	11169	11025	14440	12965	13809	11066	12271	12676	12647	12354	14214	16103	12109	11227
12174	8689	10265	12080	10644	10734	11887	11144	10593	11648	9498	11472	8998	11871	10954	11904	10684	9874	10100	13263	10367	11111	10397	9369	12993	10626	10383	10950	14522	12199
7705	6315	7083	6787	6695	7234	6610	7125	7808	7081	7194	7207	7308	6964	7226	7719	6943	7215	6899	7108	7718	6964	7018	7174	7572	7293	6722	7157	7266	6030
5264	5114	5314	32791	5706	5364	5514	5306	5356	5173	4876	5221	5324	4695	5061	5344	5220	5178	5803	4762	5204	5309	5254	5221	5149	5253	5023	4950	5196	5097
4920	5098	4891	4944	5018	4957	4976	4936	4967	4893	4701	4776	5025	4779	5477	5090	4954	4690	4656	4911	4996	4991	4668	5100	5109	4870	4348	5163	4973	4862
5035	5000	4307	5218	4380	4529	4728	4816	4539	5212	4855	5493	4758	4957	4802	4597	4547	4790	4968	4576	4538	4973	5023	4578	4752	5067	4694	4390	4559	5037
