65260	55071	44571	18340	18263	18526	23298	15533	22896	23349	31931	20627	18839	20074	19471	22928	15611	17451	20505	16867	49494	44616	16637	18166	15633	19724	22215	30286	15255	17231
17581	68018	17614	17106	18551	18534	20183	22100	19216	19431	105703	25047	22578	57978	19444	19586	17401	20755	101027	23766	19130	30364	20689	17930	28377	19874	19550	20292	89828	20266
9274	8292	9195	8799	9644	9078	10084	3767	9448	9265	9138	8991	8865	8822	9336	8619	9386	9447	9417	8739	9824	9422	8422	9178	9031	8804	8943	9276	9124	10104
170955	256814	220391	513678	398256	81466	445145	158882	138343	354459	131877	13108	515086	85926	163757	51902	304391	125576	277238	249041	71776	514094	82361	35395	509349	514816	520245	64227	11880	46092
6006	5505	6123	6395	5744	5482	5914	6089	6178	5964	5247	5498	5845	5639	6008	5632	5860	5733	5711	5391	5690	5704	6124	5659	5966	5925	5881	5705	5631	5842
26147	24344	29084	24464	22942	65484	21070	22047	22888	52913	22762	21451	18521	50837	26467	49544	22068	21203	25214	20917	21014	18589	60246	134351	21752	19475	28083	19971	22046	19440
18306	17299	17037	38231	19268	53947	20213	13937	18314	16897	47279	58340	17749	23650	18844	18948	17012	15398	160866	42304	14189	22148	15471	16888	20378	13811	17055	89850	15735	21255
7970	9880	9269	8401	8015	10066	10401	8930	10109	9247	8724	10025	9782	9170	8692	10105	8105	8361	9184	8626	9474	9526	8590	8388	9529	8862	9742	9753	9041	9307
10236	10805	10207	10716	9046	9313	11091	9588	10534	10323	9306	9441	10041	10239	8983	10798	10216	9609	9343	9914	9276	9302	9338	10171	10175	9831	9819	8927	9576	10158
14553	15643	16425	15565	17647	14603	16710	14165	14639	17547	16753	13836	18298	53429	18550	15984	16214	13750	18114	17473	14012	15713	13663	15139	15125	15559	13619	12030	16333	16290
13422	13849	15669	15068	17609	12979	14936	13893	13074	15290	16210	19863	13967	14516	14134	15274	19014	14618	13063	15069	14322	14321	15600	14653	15173	13532	15064	15036	15987	17887
11536	11453	11797	11703	11653	13741	11508	11409	12273	12749	12419	12653	11569	13349	13894	11764	13619	11815	11241	11765	11565	11150	11592	11793	12032	12463	12417	12993	11220	12077
8933	9654	9883	10532	9510	11038	11423	10444	9493	9970	9165	8959	9296	10293	10885	9245	10711	10044	9433	9314	9752	10738	8578	11465	9172	10282	10209	9922	8206	10487
11255	12689	13134	16078	13093	12119	13470	14346	16855	13942	13149	14098	17921	11179	12081	13480	14694	14541	15012	13296	14963	15964	13504	13043	13745	11565	14285	17085	12813	13931
25072	69577	189248	31573	241057	129589	231583	73100	148180	24829	65560	237664	81421	126704	66877	104676	132524	133743	25870	29193	104049	25736	27718	29277	28907	231458	114445	152483	37545	29511
10524	10587	10072	10849	11010	9441	10803	12749	9891	11212	9372	11575	11636	11012	10013	10875	10061	10002	10000	10446	9878	12056	9717	8768	12746	10228	9619	10893	10057	60174
20683	20442	16722	18971	23761	19226	19200	19434	22155	70243	21109	18278	21992	17549	18889	22059	20902	22426	19950	18821	20886	17609	22657	19862	18869	20872	19775	17482	15492	18657
9862	11546	10722	10727	10110	11222	10141	9180	11118	11256	10772	9445	10175	9696	9235	10403	10477	9782	10689	10394	9836	10968	10544	10937	10481	13281	9513	9748	10231	9735
11403	11231	10978	12484	13071	12133	10986	12874	12060	11552	10563	11736	11488	11544	11471	13600	13699	12830	10964	12297	10849	11784	11281	11132	11528	13482	11876	12064	11176	10876
12211	12519	11853	12535	11063	13069	12547	13641	33555	12107	14305	11739	12983	14027	10618	13597	11606	10958	11993	13144	12883	12978	13717	11859	14529	12432	13531	11168	13440	12414
50149	53687	57916	57736	48534	39086	59244	159680	155293	54630	96570	53262	47873	47962	45815	49227	198273	44257	46550	51988	70401	55479	114765	45894	47753	41828	77563	137334	58305	51976
27458	23517	23497	25311	20246	24428	23656	21824	20185	20874	18878	23231	21852	26525	18680	19506	20460	22050	21577	22268	19705	22584	20761	23662	21191	20474	28500	24225	25627	18940
11862	11016	10971	12476	13259	11314	10982	12513	13868	11276	12850	14662	10887	12661	13125	13329	14483	15580	15177	12186	13412	11027	12865	13075	12535	13272	13940	10928	13548	10340
18311	20095	19449	17410	17248	16650	22108	18423	23166	19937	19889	18151	23410	20743	17580	17649	17742	18984	18988	21899	17996	14924	20491	20751	16542	20309	17611	22222	18758	28842
16718	22615	21019	26705	20238	22358	17352	20166	16659	18458	25619	21682	18548	16272	19126	22888	21006	21016	18056	20920	21682	23226	17829	33571	20499	18483	17789	18984	17513	18057
14118	19023	13424	15517	14047	18952	15434	15499	16332	16926	16064	15155	15783	15353	18152	15412	18145	16987	13358	17936	16157	14479	14066	20004	14874	17316	14766	17561	13385	18669
10314	11634	11115	12124	11861	10625	11338	10183	11023	10769	10369	11176	10728	12032	9838	11156	10220	11035	10915	11806	10977	11062	9857	11492	9845	10707	10684	11497	10993	11115
5547	5375	5658	5377	5665	5582	5710	5212	5673	5677	6091	5228	5452	5301	5439	5465	5294	5301	5653	5710	5467	5541	5893	5708	5439	5650	5382	5390	5504	5678
4726	5111	4990	4798	5259	5025	5320	4932	5143	5098	4798	4786	4962	5307	5051	5033	5292	5599	5044	5094	5112	5295	4954	5078	4628	4862	5057	4822	5149	5279
5843	6432	5688	5728	6216	5651	5940	6183	5756	6179	6256	5468	6366	5484	5718	5440	6344	6156	5634	5816	5527	5948	5740	5893	5863	6163	5899	5658	5548	5961
